,Photo produit 1,Photo produit 2,Nom produit,Lien achat,Catégorie produit,Genre,cielab_colors
64,https://wasted.fr/cdn/shop/products/hoodie-rage-crown-883000_2048x2048.jpg?v=1699192985,-,Hoodie Rage Crown,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-rage-crown,Hoodie,H/F,"[10.588235294117647, 0.0, -1.0]"
65,https://wasted.fr/cdn/shop/products/hoodie-zip-iron-faith-901759_2048x2048.jpg?v=1701628306,-,Hoodie Zip Iron Faith,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-zip-iron-faith,Hoodie,H/F,"[10.588235294117647, 0.0, 0.0]"
66,https://wasted.fr/cdn/shop/products/hoodie-zip-iron-faith-484197_2048x2048.jpg?v=1701628304,-,Hoodie Zip Iron Faith,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-zip-iron-faith-1,Hoodie,H/F,"[30.980392156862745, 14.0, 15.0]"
67,https://wasted.fr/cdn/shop/products/hoodie-zip-dont-burn-138374_2048x2048.jpg?v=1701628304,-,Hoodie Zip Don't Burn,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-zip-dont-burn-crown,Hoodie,H/F,"[11.76470588235294, 0.0, 0.0]"
68,https://wasted.fr/cdn/shop/products/hoodie-zip-dont-burn-138374_2048x2048.jpg?v=1701628304,-,Hoodie Zip Don't Burn,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-zip-dont-burn-crown,Hoodie,H/F,"[6.2745098039215685, 0.0, 0.0]"
69,https://wasted.fr/cdn/shop/products/hoodie-zip-dont-burn-819406_2048x2048.jpg?v=1701628306,-,Hoodie Zip Don't Burn,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-zip-dont-burn-crown-1,Hoodie,H/F,"[92.15686274509804, 0.0, 0.0]"
70,https://wasted.fr/cdn/shop/products/hoodie-reaper-411403_2048x2048.jpg?v=1701628300,-,Hoodie Reaper,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-reaper,Hoodie,H/F,"[9.411764705882353, 0.0, 0.0]"
71,https://wasted.fr/cdn/shop/products/hoodie-disturb-364600_2048x2048.jpg?v=1697114581,-,Hoodie Disturb,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-disturb,Hoodie,H/F,"[9.411764705882353, 0.0, 0.0]"
72,https://wasted.fr/cdn/shop/files/HOODIE-ABSOLUTION-FADED-1_2048x2048.jpg?v=1697453764,-,Hoodie Absolution,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-absolution,Hoodie,H/F,"[18.43137254901961, 0.0, 0.0]"
73,https://wasted.fr/cdn/shop/files/HOODIE-ABSOLUTION-FADED-1_2048x2048.jpg?v=1697453764,-,Hoodie Absolution,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-absolution,Hoodie,H/F,"[10.980392156862745, 0.0, 0.0]"
74,https://wasted.fr/cdn/shop/products/hoodie-zip-dante-159044_2048x2048.jpg?v=1699192990,-,Hoodie Zip Dante,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-zip-dante,Hoodie,H/F,"[10.980392156862745, 0.0, 0.0]"
75,https://wasted.fr/cdn/shop/products/hoodie-zip-dante-159044_2048x2048.jpg?v=1699192990,-,Hoodie Zip Dante,https://wasted.fr/collections/hoodies-sweats-2/products/hoodie-zip-dante,Hoodie,H/F,"[5.490196078431373, 0.0, 0.0]"
76,https://wasted.fr/cdn/shop/products/crewneck-conjure-770449_2048x2048.jpg?v=1706147582,-,Crewneck Conjure,https://wasted.fr/collections/hoodies-sweats-2/products/crewneck-conjure,Hoodie,H/F,"[9.411764705882353, 0.0, 0.0]"
77,https://wasted.fr/cdn/shop/products/funnel-chad-419802_2048x2048.jpg?v=1706147707,-,Funnel Chad,https://wasted.fr/collections/hoodies-sweats-2/products/funnel-chad,Hoodie,H/F,"[79.6078431372549, 0.0, 0.0]"
